kernel,edge_idx,x_eval,activation
Matern32,0,-0.8090452551841736,1.9912145137786865
Matern32,1,-0.8090452551841736,0.36525753140449524
Matern32,0,-0.7989949584007263,1.9449565410614014
Matern32,1,-0.7989949584007263,0.3652063310146332
Matern32,0,-0.7889447212219238,1.8963860273361206
Matern32,1,-0.7889447212219238,0.36513540148735046
Matern32,0,-0.7788944840431213,1.8454649448394775
Matern32,1,-0.7788944840431213,0.3650427758693695
Matern32,0,-0.7688442468643188,1.7921541929244995
Matern32,1,-0.7688442468643188,0.36492642760276794
Matern32,0,-0.7587939500808716,1.7364157438278198
Matern32,1,-0.7587939500808716,0.36478471755981445
Matern32,0,-0.7487437129020691,1.6782116889953613
Matern32,1,-0.7487437129020691,0.36461570858955383
Matern32,0,-0.7386934757232666,1.617568016052246
Matern32,1,-0.7386934757232666,0.3644186556339264
Matern32,0,-0.7286432385444641,1.5546897649765015
Matern32,1,-0.7286432385444641,0.3641965687274933
Matern32,0,-0.7185929417610168,1.489811897277832
Matern32,1,-0.7185929417610168,0.3639526963233948
Matern32,0,-0.7085427045822144,1.4231702089309692
Matern32,1,-0.7085427045822144,0.36369049549102783
Matern32,0,-0.6984924674034119,1.3550000190734863
Matern32,1,-0.6984924674034119,0.36341360211372375
Matern32,0,-0.6884422302246094,1.2855368852615356
Matern32,1,-0.6884422302246094,0.3631252348423004
Matern32,0,-0.6783919334411621,1.215015172958374
Matern32,1,-0.6783919334411621,0.36282879114151
Matern32,0,-0.6683416962623596,1.1436715126037598
Matern32,1,-0.6683416962623596,0.3625277876853943
Matern32,0,-0.6582914590835571,1.071740746498108
Matern32,1,-0.6582914590835571,0.3622257113456726
Matern32,0,-0.6482412219047546,0.9994585514068604
Matern32,1,-0.6482412219047546,0.3619258999824524
Matern32,0,-0.6381909251213074,0.9270597100257874
Matern32,1,-0.6381909251213074,0.3616318106651306
Matern32,0,-0.6281406879425049,0.8547801375389099
Matern32,1,-0.6281406879425049,0.3613467812538147
Matern32,0,-0.6180904507637024,0.7828550934791565
Matern32,1,-0.6180904507637024,0.36107438802719116
Matern32,0,-0.6080402135848999,0.7115200757980347
Matern32,1,-0.6080402135848999,0.36081796884536743
Matern32,0,-0.5979899764060974,0.6410099864006042
Matern32,1,-0.5979899764060974,0.3605808615684509
Matern32,0,-0.5879396796226501,0.5715603232383728
Matern32,1,-0.5879396796226501,0.3603667616844177
Matern32,0,-0.5778894424438477,0.5034070611000061
Matern32,1,-0.5778894424438477,0.36017876863479614
Matern32,0,-0.5678392052650452,0.4367852210998535
Matern32,1,-0.5678392052650452,0.3600205183029175
Matern32,0,-0.5577889680862427,0.3719301223754883
Matern32,1,-0.5577889680862427,0.35989540815353394
Matern32,0,-0.5477386713027954,0.30907678604125977
Matern32,1,-0.5477386713027954,0.3598068058490753
Matern32,0,-0.5376884341239929,0.24846141040325165
Matern32,1,-0.5376884341239929,0.359758198261261
Matern32,0,-0.5276381969451904,0.19031886756420135
Matern32,1,-0.5276381969451904,0.35975295305252075
Matern32,0,-0.5175879597663879,0.13488467037677765
Matern32,1,-0.5175879597663879,0.3597944974899292
Matern32,0,-0.5075376629829407,0.08239370584487915
Matern32,1,-0.5075376629829407,0.3598863184452057
Matern32,0,-0.4974874258041382,0.03308132290840149
Matern32,1,-0.4974874258041382,0.3600318729877472
Matern32,0,-0.4874371886253357,-0.012931644916534424
Matern32,1,-0.4874371886253357,0.36024561524391174
Matern32,0,-0.4773869216442108,-0.05574367195367813
Matern32,1,-0.4773869216442108,0.360562801361084
Matern32,0,-0.4673366844654083,-0.09547802805900574
Matern32,1,-0.4673366844654083,0.3610215187072754
Matern32,0,-0.45728641748428345,-0.13225863873958588
Matern32,1,-0.45728641748428345,0.36165937781333923
Matern32,0,-0.44723618030548096,-0.16620877385139465
Matern32,1,-0.44723618030548096,0.3625144064426422
Matern32,0,-0.43718594312667847,-0.19745220243930817
Matern32,1,-0.43718594312667847,0.3636242747306824
Matern32,0,-0.4271356761455536,-0.22611254453659058
Matern32,1,-0.4271356761455536,0.3650270104408264
Matern32,0,-0.4170854389667511,-0.2523132562637329
Matern32,1,-0.4170854389667511,0.36676025390625
Matern32,0,-0.4070351719856262,-0.27617812156677246
Matern32,1,-0.4070351719856262,0.36886224150657654
Matern32,0,-0.39698493480682373,-0.29783058166503906
Matern32,1,-0.39698493480682373,0.371370404958725
Matern32,0,-0.38693466782569885,-0.31739428639411926
Matern32,1,-0.38693466782569885,0.374322772026062
Matern32,0,-0.37688443064689636,-0.33499276638031006
Matern32,1,-0.37688443064689636,0.37775719165802
Matern32,0,-0.3668341636657715,-0.3507497012615204
Matern32,1,-0.3668341636657715,0.3817114233970642
Matern32,0,-0.356783926486969,-0.36478859186172485
Matern32,1,-0.356783926486969,0.38622352480888367
Matern32,0,-0.3467336595058441,-0.3772331476211548
Matern32,1,-0.3467336595058441,0.3913310766220093
Matern32,0,-0.3366834223270416,-0.3882068395614624
Matern32,1,-0.3366834223270416,0.3970721364021301
Matern32,0,-0.32663315534591675,-0.39783334732055664
